[run number],ground-weeds?,world-area,patch-grain,[step],BA-by-species,age-by-species,dbh-by-species,hgt-by-species,abundances,siminputrow
3,TRUE,1,4,600,[0 0 0 0 0 0 0 0],[172 107 253 0 59 79 172 0],[0.138 0.102 0.119 0 0.131 0.163 0.137 0],[8.262 5.833 7.328 0 4.886 6.641 2.742 0],[93 106 119 0 107 2 119 0],1
3,TRUE,1,4,700,[0 0 0 0 0 0 0 0],[160 80 175 0 107 179 176 0],[0.195 0.116 0.145 0 0.159 0.526 0.126 0],[10.787 6.267 8.486 0 5.582 16.745 2.905 0],[62 58 128 0 62 2 120 0],1
3,TRUE,1,4,800,[0 0 0 0 0 0 0 0],[253 63 223 0 68 0 226 0],[0.186 0.148 0.129 0 0.172 0 0.127 0],[10.153 7.578 7.83 0 5.778 0 2.727 0],[69 44 239 0 75 0 150 0],1
3,TRUE,1,4,900,[0 0 0 0 0 0 0 0],[255 107 221 0 61 0 192 0],[0.193 0.128 0.151 0 0.144 0 0.128 0],[10.25 6.585 8.775 0 5.207 0 2.868 0],[54 60 230 0 102 0 131 0],1
3,TRUE,1,4,1000,[0 0 0 0 0 0 0 0],[38 42 304 0 44 0 118 0],[0.067 0.093 0.137 0 0.118 0 0.162 0],[4.97 5.645 7.989 0 4.642 0 2.274 0],[3 53 150 0 92 0 52 0],1
4,TRUE,1,4,100,[0 0 0 0 0 0 0 0],[204 83 192 0 54 114 293 73],[0.148 0.105 0.154 0 0.134 0.144 0.134 0.313],[8.219 5.926 8.735 0 4.985 5.914 2.71 8.342],[69 115 95 0 87 18 131 5],1
4,TRUE,1,4,200,[0 0 0 0 0 0 0 0],[184 86 217 0 43 201 123 0],[0.102 0.102 0.109 0 0.112 0.186 0.136 0],[6.445 5.863 6.605 0 4.596 6.851 2.408 0],[29 109 53 0 41 9 95 0],1
4,TRUE,1,4,300,[0 0 0 0 0 0 0 0],[90 92 122 0 47 69 109 0],[0.096 0.118 0.119 0 0.133 0.098 0.144 0],[6.341 6.287 7.373 0 4.99 4.549 2.423 0],[38 165 80 0 40 3 118 0],1
4,TRUE,1,4,400,[0 0 0 0 0 0 0 0],[80 91 144 0 54 0 175 0],[0.146 0.11 0.102 0 0.182 0 0.14 0],[8.851 6.117 6.646 0 6.151 0 2.666 0],[8 263 50 0 57 0 125 0],1
4,TRUE,1,4,500,[0 0 0 0 0 0 0 0],[166 99 244 0 74 0 271 0],[0.159 0.123 0.154 0 0.186 0 0.149 0],[9.061 6.537 8.922 0 6.277 0 3.282 0],[16 353 83 0 57 0 113 0],1
4,TRUE,1,4,600,[0 0 0 0 0 0 0 0],[142 135 204 0 54 0 371 0],[0.194 0.138 0.17 0 0.198 0 0.135 0],[10.822 7.014 9.68 0 6.336 0 3.056 0],[18 373 97 0 33 0 97 0],1
